test,UniqueID,Gene.Name,logFC,P.Value,Adj.P.Value
DEG.wk52,ENSG00000000003,TSPAN6,0.225351209,0.053359044,0.16118915
DEG.wk52,ENSG00000000419,DPM1,0.113958192,0.135752199,0.300563919
DEG.wk52,ENSG00000000457,SCYL3,-0.014201527,0.618586244,0.769903859
DEG.wk52,ENSG00000000460,C1orf112,-0.083441388,0.003330172,0.020671253
DEG.wk52,ENSG00000000938,FGR,-0.023211426,0.618533318,0.769903859
DEG.wk52,ENSG00000000971,CFH,0.013579944,0.841881899,0.912433193
DEG.wk52,ENSG00000001036,FUCA2,-0.073697334,0.024506922,0.09266816
DEG.wk52,ENSG00000001084,GCLC,0.072956803,0.110632902,0.262927275
DEG.wk52,ENSG00000001167,NFYA,-0.061257229,0.031944335,0.112475592
DEG.wk52,ENSG00000001460,STPG1,-0.032182344,0.473887617,0.659931575
DEG.wk52,ENSG00000001461,NIPAL3,0.033283678,0.281712346,0.478338112
DEG.wk52,ENSG00000001497,LAS1L,-0.003365718,0.91235663,0.954941354
DEG.wk52,ENSG00000001561,ENPP4,0.182739586,0.001015151,0.008117173
DEG.wk52,ENSG00000001629,ANKIB1,-0.00557939,0.805496962,0.88968778
DEG.wk52,ENSG00000001630,CYP51A1,-0.031293471,0.414087451,0.608146249
DEG.wk52,ENSG00000001631,KRIT1,0.000509223,0.987508684,0.993705978
DEG.wk52,ENSG00000002016,RAD52,0.011128014,0.699707789,0.824532091
DEG.wk52,ENSG00000002330,BAD,-0.003097122,0.958640177,0.979065519
DEG.wk52,ENSG00000002549,LAP3,-0.848474477,7.44e-36,2.5e-33
DEG.wk52,ENSG00000002586,CD99,0.038174097,0.201645273,0.38678919
DEG.wk52,ENSG00000002587,HS3ST1,-0.011348129,0.889471254,0.940495428
DEG.wk52,ENSG00000002726,AOC1,-0.355370693,0.00112828,0.008830804
DEG.wk52,ENSG00000002745,WNT16,0.176488006,0.090833266,0.229919531
DEG.wk52,ENSG00000002822,MAD1L1,-0.070307016,0.089525453,0.227507904
DEG.wk52,ENSG00000002834,LASP1,-0.029903999,0.493820012,0.676459122
DEG.wk52,ENSG00000002919,SNX11,-0.084008109,0.045966286,0.145259687
DEG.wk52,ENSG00000002933,TMEM176A,0.032730409,0.610384939,0.763571162
DEG.wk52,ENSG00000003056,M6PR,0.040103155,0.079754907,0.211305533
DEG.wk52,ENSG00000003096,KLHL13,0.332208648,0.00028488,0.00287242
DEG.wk52,ENSG00000003147,ICA1,-0.196990353,1.15e-05,0.000188142
DEG.wk52,ENSG00000003249,DBNDD1,0.227054256,0.004197942,0.024750151
DEG.wk52,ENSG00000003393,ALS2,0.021196619,0.347641168,0.548589995
DEG.wk52,ENSG00000003400,CASP10,-0.239385265,8.35e-19,9.01e-17
DEG.wk52,ENSG00000003402,CFLAR,-0.107726135,0.015012253,0.064644229
DEG.wk52,ENSG00000003436,TFPI,0.190067252,0.040718252,0.133172204
DEG.wk52,ENSG00000003509,NDUFAF7,0.063186908,0.053340789,0.161160874
DEG.wk52,ENSG00000003756,RBM5,-0.043934826,0.056263584,0.167313289
DEG.wk52,ENSG00000004059,ARF5,0.096626746,0.004890559,0.027812941
DEG.wk52,ENSG00000004139,SARM1,0.029966068,0.446044271,0.637371936
DEG.wk52,ENSG00000004142,POLDIP2,-0.08400117,0.007243094,0.037841055
DEG.wk52,ENSG00000004399,PLXND1,-0.074718057,0.211690312,0.398795671
DEG.wk52,ENSG00000004455,AK2,-0.003264995,0.855294248,0.92069133
DEG.wk52,ENSG00000004468,CD38,-0.469273073,4.22e-20,5.1e-18
DEG.wk52,ENSG00000004478,FKBP4,0.077669067,0.018705842,0.075819269
DEG.wk52,ENSG00000004487,KDM1A,0.035817446,0.183721814,0.364486538
DEG.wk52,ENSG00000004534,RBM6,0.013355199,0.624995355,0.774717007
DEG.wk52,ENSG00000004660,CAMKK1,0.114036531,0.073806411,0.200643279
DEG.wk52,ENSG00000004700,RECQL,0.097503262,0.085424607,0.22045413
DEG.wk52,ENSG00000004766,VPS50,0.089705506,0.081864069,0.214959078
DEG.wk52,ENSG00000004777,ARHGAP33,-0.003478919,0.965751124,0.982699405
DEG.wk52,ENSG00000004779,NDUFAB1,0.02567528,0.576639224,0.739376272
DEG.wk52,ENSG00000004799,PDK4,0.008969136,0.90050407,0.947022702
DEG.wk52,ENSG00000004809,SLC22A16,-0.171326325,0.009884376,0.047733211
DEG.wk52,ENSG00000004838,ZMYND10,0.127199662,0.139622564,0.306310841
DEG.wk52,ENSG00000004864,SLC25A13,0.014729407,0.538483029,0.710745026
DEG.wk52,ENSG00000004866,ST7,0.084272247,0.036178774,0.122815341
DEG.wk52,ENSG00000004897,CDC27,0.02709055,0.53327269,0.707140506
DEG.wk52,ENSG00000004939,SLC4A1,0.084605929,0.484318947,0.668705061
DEG.wk52,ENSG00000004961,HCCS,0.015609952,0.614821452,0.767108517
DEG.wk52,ENSG00000004975,DVL2,-0.094096074,0.016944387,0.070643201
DEG.wk52,ENSG00000005007,UPF1,-0.062046493,0.235048329,0.427637381
DEG.wk52,ENSG00000005020,SKAP2,0.024194567,0.65097275,0.791025099
DEG.wk52,ENSG00000005022,SLC25A5,0.148931757,2.38e-07,6.11e-06
DEG.wk52,ENSG00000005059,MCUB,0.062116092,0.083982489,0.218343418
DEG.wk52,ENSG00000005075,POLR2J,-0.015342154,0.690400417,0.818140298
DEG.wk52,ENSG00000005100,DHX33,-0.033997423,0.159129703,0.33252053
DEG.wk52,ENSG00000005102,MEOX1,-0.004567841,0.942392842,0.970885103
DEG.wk52,ENSG00000005108,THSD7A,0.482109513,9.98e-05,0.001201792
DEG.wk52,ENSG00000005156,LIG3,-0.019451571,0.468179837,0.655866097
DEG.wk52,ENSG00000005175,RPAP3,0.054762477,0.223489911,0.413627549
DEG.wk52,ENSG00000005187,ACSM3,0.293171389,1.9e-06,3.83e-05
DEG.wk52,ENSG00000005189,REXO5,-0.068135729,0.303668029,0.502613264
DEG.wk52,ENSG00000005194,CIAPIN1,0.027381649,0.303692809,0.502613264
DEG.wk52,ENSG00000005206,SPPL2B,-0.08439808,0.1582931,0.331343886
DEG.wk52,ENSG00000005238,FAM214B,-0.043067734,0.443624584,0.635195032
DEG.wk52,ENSG00000005243,COPZ2,0.10077056,0.214076183,0.401430097
DEG.wk52,ENSG00000005249,PRKAR2B,0.269313692,0.001355136,0.010150357
DEG.wk52,ENSG00000005302,MSL3,0.013331168,0.725597823,0.840534445
DEG.wk52,ENSG00000005339,CREBBP,-0.127193435,0.025075631,0.094340814
DEG.wk52,ENSG00000005379,TSPOAP1,0.12841056,0.032716653,0.114218312
DEG.wk52,ENSG00000005381,MPO,-0.235521563,0.023573821,0.090188778
DEG.wk52,ENSG00000005436,GCFC2,0.07895035,0.111184291,0.263718834
DEG.wk52,ENSG00000005448,WDR54,0.083005282,0.065878378,0.186595331
DEG.wk52,ENSG00000005469,CROT,0.032338812,0.408934144,0.603475954
DEG.wk52,ENSG00000005471,ABCB4,0.15916151,0.028272019,0.103215941
DEG.wk52,ENSG00000005483,KMT2E,-0.097233524,0.001451536,0.01073485
DEG.wk52,ENSG00000005486,RHBDD2,-0.103438567,0.010902852,0.051269908
DEG.wk52,ENSG00000005513,SOX8,-0.107081854,0.272235168,0.468569299
DEG.wk52,ENSG00000005700,IBTK,0.028862039,0.437466709,0.630034122
DEG.wk52,ENSG00000005801,ZNF195,0.029429616,0.366323026,0.564453348
DEG.wk52,ENSG00000005810,MYCBP2,-0.054635894,0.0533163,0.161140624
DEG.wk52,ENSG00000005812,FBXL3,0.049688561,0.218071105,0.406923826
DEG.wk52,ENSG00000005844,ITGAL,-0.002407182,0.95102322,0.975283944
DEG.wk52,ENSG00000005882,PDK2,0.097019935,0.016857453,0.070442849
DEG.wk52,ENSG00000005884,ITGA3,-0.03042068,0.582866204,0.743414948
DEG.wk52,ENSG00000005889,ZFX,0.051098817,0.073708139,0.200559957
DEG.wk52,ENSG00000005893,LAMP2,-0.045217327,0.368467108,0.566456434
DEG.wk52,ENSG00000005961,ITGA2B,0.189769606,0.154011274,0.325996528
DEG.wk52,ENSG00000006007,GDE1,0.082894566,0.08362773,0.217896297
DEG.wk52,ENSG00000006015,REX1BD,-0.031928284,0.592159895,0.750675892
DEG.wk52,ENSG00000006025,OSBPL7,-0.028615899,0.545696483,0.71665744
DEG.wk52,ENSG00000006062,MAP3K14,0.028935417,0.381569566,0.579342485
DEG.wk52,ENSG00000006125,AP2B1,-0.031970809,0.35749086,0.556762669
DEG.wk52,ENSG00000006194,ZNF263,0.038292401,0.06156324,0.178075405
DEG.wk52,ENSG00000006282,SPATA20,-0.003532145,0.927195516,0.962907981
DEG.wk52,ENSG00000006327,TNFRSF12A,-0.147854132,0.045731476,0.144760415
DEG.wk52,ENSG00000006432,MAP3K9,-0.000357572,0.993488631,0.996860343
DEG.wk52,ENSG00000006451,RALA,0.075842061,0.060509265,0.175784412
DEG.wk52,ENSG00000006453,BAIAP2L1,0.046783699,0.661363816,0.798641716
