Protein.ID,ComparisonID,logFC,P.Value,Adj.P.Value
D2Y6Y7,ADPD.vs.AD,0.053565729,0.675547409,0.895707375
D2Y6Y7,ADPD.vs.CTL,-0.280429431,0.028212143,0.121879847
D2Y6Y7,ADPD.vs.PD,-0.210518195,0.095711476,0.282500061
D2Y6Y7,AD.vs.CTL,-0.33399516,0.011671368,0.04747071
D2Y6Y7,PD.vs.AD,0.264083924,0.043429449,0.124905247
D2Y6Y7,PD.vs.CTL,-0.069911236,0.574929253,0.900973011
A6ZGN8,ADPD.vs.AD,0.100190422,0.291491759,0.680693097
A6ZGN8,ADPD.vs.CTL,-0.161584306,0.083657151,0.245845513
A6ZGN8,ADPD.vs.PD,-0.332294199,0.00069516,0.01178045
A6ZGN8,AD.vs.CTL,-0.261774729,0.007678173,0.0346047
A6ZGN8,PD.vs.AD,0.432484621,3.24E-05,0.000588205
A6ZGN8,PD.vs.CTL,0.170709893,0.06812808,0.514537377
A0A1L1ZDQ5,ADPD.vs.AD,0.377152242,0.0065001,0.211963578
A0A1L1ZDQ5,ADPD.vs.CTL,-0.033850611,0.793809037,0.89851834
A0A1L1ZDQ5,ADPD.vs.PD,-0.25857418,0.05050927,0.188147686
A0A1L1ZDQ5,AD.vs.CTL,-0.411002853,0.003233242,0.018283577
A0A1L1ZDQ5,PD.vs.AD,0.635726421,1.68E-05,0.000370806
A0A1L1ZDQ5,PD.vs.CTL,0.224723568,0.087606331,0.55937766
A0A0A0PZ76,ADPD.vs.AD,0.208857595,0.448570553,0.784099147
A0A0A0PZ76,ADPD.vs.CTL,-0.311362115,0.263460441,0.495832274
A0A0A0PZ76,ADPD.vs.PD,-0.662821243,0.024744339,0.118420513
A0A0A0PZ76,AD.vs.CTL,-0.52021971,0.070100425,0.178698026
A0A0A0PZ76,PD.vs.AD,0.871678838,0.004810238,0.024077968
A0A0A0PZ76,PD.vs.CTL,0.351459128,0.209111543,0.701169813
C8YAE4,ADPD.vs.AD,0.205260752,0.093823382,0.464467714
C8YAE4,ADPD.vs.CTL,-0.111104963,0.346335739,0.575466152
C8YAE4,ADPD.vs.PD,-0.234342955,0.050653188,0.188488558
C8YAE4,AD.vs.CTL,-0.316365716,0.011362676,0.046570787
C8YAE4,PD.vs.AD,0.439603707,0.000638736,0.005226884
C8YAE4,PD.vs.CTL,0.123237991,0.296761745,0.763105124
A0A141ZSL4,ADPD.vs.AD,0.100149818,0.330622701,0.71437942
A0A141ZSL4,ADPD.vs.CTL,-0.280805777,0.006827865,0.047133235
A0A141ZSL4,ADPD.vs.PD,-0.350347064,0.000943761,0.014505277
A0A141ZSL4,AD.vs.CTL,-0.380955595,0.000507343,0.004774541
A0A141ZSL4,PD.vs.AD,0.450496883,5.89E-05,0.000909037
A0A141ZSL4,PD.vs.CTL,0.069541287,0.48655392,0.857459536
A0A075X871,ADPD.vs.AD,0.247792824,0.019785181,0.293912627
A0A075X871,ADPD.vs.CTL,0.015343369,0.876664482,0.942167978
A0A075X871,ADPD.vs.PD,0.025647667,0.795365963,0.900940396
A0A075X871,AD.vs.CTL,-0.232449455,0.028115407,0.090769354
A0A075X871,PD.vs.AD,0.222145157,0.035356953,0.107581314
A0A075X871,PD.vs.CTL,-0.010304298,0.916980368,0.985415021
A0A075XDK3,ADPD.vs.AD,0.006307596,0.980419629,0.995898373
A0A075XDK3,ADPD.vs.CTL,-0.074659741,0.763793904,0.88270719
A0A075XDK3,ADPD.vs.PD,-0.265111833,0.305941013,0.551952271
A0A075XDK3,AD.vs.CTL,-0.080967336,0.752898357,0.85528793
A0A075XDK3,PD.vs.AD,0.271419428,0.310113873,0.491657282
A0A075XDK3,PD.vs.CTL,0.190452092,0.46042626,0.85047059
A0A075X6N5,ADPD.vs.AD,0.139029984,0.154182002,0.550686235
A0A075X6N5,ADPD.vs.CTL,-0.143011282,0.132591122,0.325706027
A0A075X6N5,ADPD.vs.PD,-0.012103795,0.897462522,0.954101082
A0A075X6N5,AD.vs.CTL,-0.282041265,0.005130066,0.025750568
A0A075X6N5,PD.vs.AD,0.151133779,0.122128863,0.262837877
A0A075X6N5,PD.vs.CTL,-0.130907487,0.167771093,0.660658683
A0A023T6R1,ADPD.vs.AD,0.050691167,0.3161097,0.701433579
A0A023T6R1,ADPD.vs.CTL,0.070901018,0.152053479,0.353154883
A0A023T6R1,ADPD.vs.PD,0.101027718,0.043566916,0.171150644
A0A023T6R1,AD.vs.CTL,0.020209851,0.688030784,0.810515137
A0A023T6R1,PD.vs.AD,-0.050336551,0.319470234,0.50097
A0A023T6R1,PD.vs.CTL,-0.0301267,0.539062339,0.884197794
Q30009,ADPD.vs.AD,0.715294289,0.153104027,0.550297624
Q30009,ADPD.vs.CTL,1.831663113,0.002396054,0.023577043
Q30009,ADPD.vs.PD,1.379352953,0.016573778,0.091422578
Q30009,AD.vs.CTL,1.116368824,0.03113796,0.098277906
Q30009,PD.vs.AD,-0.664058664,0.18321019,0.345434049
Q30009,PD.vs.CTL,0.45231016,0.401497191,0.817151428
A0A0C4DFM1,ADPD.vs.AD,0.106926123,0.486144383,0.802026731
A0A0C4DFM1,ADPD.vs.CTL,-0.014046891,0.924913979,0.963351041
A0A0C4DFM1,ADPD.vs.PD,0.238915649,0.113836536,0.312052668
A0A0C4DFM1,AD.vs.CTL,-0.120973014,0.43106809,0.601955499
A0A0C4DFM1,PD.vs.AD,-0.131989526,0.390607627,0.573932634
A0A0C4DFM1,PD.vs.CTL,-0.25296254,0.094635862,0.57072933
A0A1V0DNR7,ADPD.vs.AD,-0.029207532,0.794354006,0.94395975
A0A1V0DNR7,ADPD.vs.CTL,-0.110308173,0.314322474,0.546806683
A0A1V0DNR7,ADPD.vs.PD,-0.092498632,0.398042467,0.628428328
A0A1V0DNR7,AD.vs.CTL,-0.081100641,0.470304435,0.639610475
A0A1V0DNR7,PD.vs.AD,0.0632911,0.572710086,0.726415737
A0A1V0DNR7,PD.vs.CTL,-0.017809541,0.870256717,0.974767052
A0A024QYR8,ADPD.vs.AD,0.115926363,0.258279996,0.649499279
A0A024QYR8,ADPD.vs.CTL,0.054445462,0.583410569,0.768584656
A0A024QYR8,ADPD.vs.PD,0.203118182,0.045022302,0.174862537
A0A024QYR8,AD.vs.CTL,-0.061480901,0.546806344,0.705502786
A0A024QYR8,PD.vs.AD,-0.087191819,0.393752358,0.577480722
A0A024QYR8,PD.vs.CTL,-0.148672721,0.138336947,0.624643853
A0A024QYS2,ADPD.vs.AD,-0.063447667,0.432493242,0.775725542
A0A024QYS2,ADPD.vs.CTL,-0.185335338,0.021685112,0.10181528
A0A024QYS2,ADPD.vs.PD,0.066588514,0.39760781,0.628017782
A0A024QYS2,AD.vs.CTL,-0.121887671,0.135028451,0.281484374
A0A024QYS2,PD.vs.AD,-0.130036181,0.111420629,0.247131849
A0A024QYS2,PD.vs.CTL,-0.251923851,0.002282413,0.173427036
A0A024QYT6,ADPD.vs.AD,0.087720232,0.366572892,0.735702794
A0A024QYT6,ADPD.vs.CTL,-0.147067451,0.123085941,0.310978986
A0A024QYT6,ADPD.vs.PD,-0.171454052,0.07354016,0.240990603
A0A024QYT6,AD.vs.CTL,-0.234787683,0.018557433,0.066675131
A0A024QYT6,PD.vs.AD,0.259174284,0.009808136,0.041395577
A0A024QYT6,PD.vs.CTL,0.024386601,0.79567323,0.959645775
B4DVQ5,ADPD.vs.AD,-0.036821014,0.308981154,0.696028704
B4DVQ5,ADPD.vs.CTL,0.016602957,0.635921534,0.802629162
B4DVQ5,ADPD.vs.PD,0.026928301,0.443500614,0.662940659
B4DVQ5,AD.vs.CTL,0.053423971,0.142360532,0.292808178
B4DVQ5,PD.vs.AD,-0.063749316,0.081492934,0.196440574
B4DVQ5,PD.vs.CTL,-0.010325344,0.768274051,0.954767666
A0A024QYV8,ADPD.vs.AD,-0.029449945,0.86637654,0.965878247
A0A024QYV8,ADPD.vs.CTL,0.133292702,0.44801231,0.664580852
A0A024QYV8,ADPD.vs.PD,0.117222736,0.504229506,0.711029433
A0A024QYV8,AD.vs.CTL,0.162742647,0.355172213,0.533685758
A0A024QYV8,PD.vs.AD,-0.146672681,0.404162851,0.58670484
A0A024QYV8,PD.vs.CTL,0.016069966,0.926834317,0.987194231
A0A024QYW3,ADPD.vs.AD,-0.161715174,0.26093768,0.650670159
A0A024QYW3,ADPD.vs.CTL,0.624997169,4.31E-05,0.001631929
A0A024QYW3,ADPD.vs.PD,0.590411229,9.68E-05,0.003498622
A0A024QYW3,AD.vs.CTL,0.786712343,1.41E-06,6.82E-05
A0A024QYW3,PD.vs.AD,-0.752126403,3.24E-06,0.000132511
A0A024QYW3,PD.vs.CTL,0.034585939,0.803632588,0.962298853
A0A0U1RR06,ADPD.vs.AD,-0.073594313,0.537702632,0.828298445
A0A0U1RR06,ADPD.vs.CTL,-0.119446962,0.305874342,0.538329861
A0A0U1RR06,ADPD.vs.PD,-0.142114405,0.224228795,0.466014462
A0A0U1RR06,AD.vs.CTL,-0.045852649,0.700633434,0.81925358
A0A0U1RR06,PD.vs.AD,0.068520092,0.565997063,0.722103028
A0A0U1RR06,PD.vs.CTL,0.022667443,0.845089674,0.969481858
B3KMB3,ADPD.vs.AD,-0.228384934,0.010013185,0.238115785
B3KMB3,ADPD.vs.CTL,-0.132582531,0.115955298,0.300564489
B3KMB3,ADPD.vs.PD,-0.014878542,0.858103377,0.932745071
B3KMB3,AD.vs.CTL,0.095802403,0.265656233,0.443665029
B3KMB3,PD.vs.AD,-0.213506392,0.015597999,0.059050739
B3KMB3,PD.vs.CTL,-0.117703989,0.161657443,0.653938898
B2R7R5,ADPD.vs.AD,-0.018480792,0.715431402,0.911207318
B2R7R5,ADPD.vs.CTL,0.080089167,0.109230674,0.290159247
B2R7R5,ADPD.vs.PD,0.09084945,0.070336757,0.234227913
B2R7R5,AD.vs.CTL,0.098569958,0.05647861,0.15261106
B2R7R5,PD.vs.AD,-0.109330242,0.035188164,0.107303717
B2R7R5,PD.vs.CTL,-0.010760284,0.827283389,0.967841181
B3KUZ9,ADPD.vs.AD,0.450731748,0.345746495,0.722321969
B3KUZ9,ADPD.vs.CTL,0.108347617,0.804081197,0.9035707
