Protein.ID,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,ADPD1,ADPD10,ADPD2,ADPD3,ADPD4,ADPD5,ADPD6,ADPD7,ADPD8,ADPD9,CTL1,CTL10,CTL2,CTL3,CTL4,CTL5,CTL6,CTL7,CTL8,CTL9,GIS1,GIS10,GIS2,GIS3,GIS4,GIS5,GIS6,GIS7,GIS8,GIS9,PD1,PD10,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9
A0A023T6R1,1.077,1.013,0.853,1.022,1.199,0.988,0.924,0.967,1.097,1.041,1.004,0.974,1.05,1.131,1.141,0.969,1.085,1.05,1.042,1.046,0.937,0.974,1.063,0.885,0.87,1.061,1.055,1.057,1.05,1.007,0.938,0.946,1.058,1.062,0.941,0.999,0.958,0.968,1.071,0.92,1.028,1.075,0.98,0.969,0.873,1.033,0.978,1.029,0.899
A0A024QYR8,0.918,1.025,0.733,0.751,0.926,1.055,1.039,0.936,1.203,1.006,0.761,1.015,1.467,1.224,0.95,0.87,0.971,1,1.114,1.049,1.042,1.002,1.35,0.618,1.042,0.945,0.984,0.948,1.019,0.944,0.883,0.971,1.097,0.985,1.007,0.899,0.992,0.925,0.878,0.848,0.985,0.915,0.833,0.634,1.019,0.981,0.962,0.936,0.84
A0A024QYS2,0.857,0.922,0.891,0.83,0.759,1.173,0.996,0.88,0.963,1.064,0.838,0.943,0.773,1.044,0.798,0.809,0.89,0.877,0.755,0.913,1.324,0.987,0.911,0.907,0.91,1.076,0.98,0.925,1.066,0.841,1.043,0.881,0.826,1.055,0.922,0.864,0.896,0.891,0.645,0.764,0.81,0.87,0.995,0.809,0.889,0.842,0.791,0.915,0.693
A0A024QYT6,0.749,0.929,0.846,1.134,0.73,0.923,0.864,0.757,0.709,0.866,0.94,0.925,0.922,0.979,0.803,0.902,0.919,0.886,0.803,1.329,0.96,0.955,0.964,1.07,1.167,0.84,0.754,0.936,1.026,0.764,0.966,0.979,0.775,0.937,1.048,0.97,0.956,1.201,1.078,1.171,1.171,0.816,1.18,0.677,1.057,1.044,1.18,1.029,0.882
A0A024QYV8,1.395,1.048,0.871,1.279,1.001,1.045,0.984,1.196,,0.851,,0.937,0.915,1.157,0.943,1.665,1.33,0.966,,0.919,,1.426,0.596,0.929,1.155,0.924,1.065,0.986,,0.967,,1.083,1.338,0.978,1.71,0.489,0.933,1.047,,0.883,,1.025,1.216,1.255,0.685,0.917,1.036,0.989,
A0A024QYW3,2.383,1.717,1.493,1.192,2.424,1.118,1.588,1.503,2.278,1.553,1.763,1.417,1.414,2.423,1.516,1.262,1.898,1.158,1.052,0.599,1.218,0.755,1.13,1.099,1.175,0.878,0.945,1.327,0.873,1.356,1.179,1.342,1.265,1.121,1.317,1.375,1.36,1.45,1.491,0.885,0.764,1.16,0.911,1.12,1.211,0.891,1.108,0.831,1.235
A0A024QYX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A024QYY9,1.049,0.978,0.971,1.113,1.169,1.005,0.955,1.07,1.017,0.921,1.142,0.943,0.98,0.909,0.899,0.854,0.957,1.067,0.969,1.192,1.026,1.077,1.022,0.9,0.957,1.037,1.002,0.844,0.943,1.005,0.971,1.015,0.992,1.149,1.006,1.064,1.036,1.006,1.126,1.114,1.129,0.899,1.122,1.032,1.03,1.172,1.088,1.167,0.849
A0A024QYZ6,0.99,0.984,0.971,0.997,0.92,0.831,0.958,1.036,0.919,0.937,1.019,0.935,0.923,0.909,0.999,1.013,0.902,0.987,0.934,1.011,0.931,0.943,1.121,0.951,1.046,1.077,0.966,1.015,0.939,0.932,1.06,0.965,1.008,0.985,1.059,0.964,0.959,0.954,0.958,1.009,0.977,1.044,0.929,0.957,0.965,0.876,0.98,0.994,1.038
A0A024QZ03,1.087,1.112,1.068,0.953,1.124,1.034,1.059,1.013,1.167,1.13,1.17,1.077,1.095,0.998,0.985,1.111,1.082,0.997,0.944,0.853,0.957,0.997,1.237,0.946,0.998,0.918,1.017,0.969,1.106,1.001,0.956,1.056,0.954,1.036,0.883,1.038,1.088,1.073,0.916,0.995,1.124,0.948,0.871,1.1,1.08,1.086,0.97,0.987,0.892
A0A024QZ23,0.823,0.805,0.787,0.799,0.601,0.637,0.736,0.809,0.706,0.817,1.008,0.745,0.505,0.64,0.636,1.153,0.751,0.92,0.757,0.865,1.064,0.778,1.595,0.755,1.519,0.765,0.877,0.876,0.907,0.905,0.784,0.792,0.885,0.739,0.787,0.595,0.879,0.766,0.714,1.034,0.733,0.855,0.877,0.837,0.763,0.962,0.866,0.938,0.904
A0A024QZ26,0.978,1.065,0.994,1.117,1.171,0.956,0.897,1.113,0.611,1.008,1.004,0.998,0.763,0.846,0.831,1.204,1.059,0.816,1.016,0.991,1.019,0.949,1.353,0.569,0.981,0.974,1.102,0.927,1.135,0.958,1.021,0.876,0.792,1.267,1.115,0.983,0.882,0.966,0.918,1.044,0.894,0.785,0.918,1.036,0.591,0.849,0.919,0.972,1.069
A0A024QZ30,0.723,0.799,0.943,0.926,0.644,0.738,0.831,0.744,0.783,0.871,0.775,0.855,0.79,0.743,0.89,0.916,0.92,0.956,0.997,1.094,0.8,0.986,0.993,1.028,1.067,1.076,0.963,1.01,0.982,0.935,0.955,0.929,0.927,0.953,0.864,0.974,0.865,0.883,0.968,0.991,1.064,1.065,1.014,0.934,1.086,0.995,0.967,1.111,1.001
A0A024QZ34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A024QZ47,0.819,0.922,0.729,1.039,0.835,0.681,,,1.33,0.746,0.867,0.825,1.456,0.517,1.126,0.942,,,0.669,0.988,1.253,0.963,1.207,0.977,0.959,0.773,,,0.88,0.914,0.842,0.755,0.791,0.937,0.935,1.102,,,0.813,0.983,0.905,1.083,0.499,0.846,0.739,0.907,,,0.539
A0A024QZ62,0.734,1.006,0.83,0.894,0.734,0.668,0.75,0.728,0.731,0.82,0.987,0.953,0.917,0.727,0.942,1.145,0.67,0.87,0.876,0.869,0.726,1.054,1.094,0.775,0.998,0.855,1.658,0.785,1.187,1.001,0.964,0.953,0.888,0.88,0.896,0.878,0.847,0.846,0.866,1.043,0.828,0.827,0.971,1.286,1.075,1.071,1.105,1.001,1.171
A0A024QZ64,1.013,1.017,0.978,0.925,0.947,1.114,1.043,0.892,0.963,1.01,1.202,1.057,1.065,1.025,1.092,1.037,1.12,1.093,1.11,1.018,0.918,0.985,1.016,1.139,1.034,1.064,0.974,1.011,0.841,1,1.074,1.027,0.983,0.988,1.019,1.008,1.042,1.021,1.077,0.972,1.108,1.225,1.004,1.201,0.962,1.043,1.116,1.011,0.998
A0A024QZ70,0.869,0.904,0.868,0.953,0.882,0.866,0.969,0.956,0.887,0.893,0.95,0.86,0.893,0.889,0.902,0.989,0.847,0.904,1.015,1.113,1.011,0.968,1.016,0.935,1.031,1.001,1.002,0.937,0.986,0.914,0.885,0.944,0.933,0.953,0.951,0.968,0.944,0.937,0.931,0.995,0.978,0.983,1,1.005,0.963,0.892,0.934,1.013,0.857
