Protein.ID,Gene.Symbol
A0A023T6R1,MAGOHB
A0A024QYR8,TM9SF2
A0A024QYS2,TM9SF3
A0A024QYT6,AP1S1
A0A024QYV8,CCP110
A0A024QYW3,PLP2
A0A024QYX3,RBM3
A0A024QYY9,SPECC1
A0A024QYZ6,EXOC3
A0A024QZ03,CCDC22
A0A024QZ23,TFE3
A0A024QZ26,HDAC6
A0A024QZ30,SDHA
A0A024QZ34,MFAP4
A0A024QZ47,APPBP2
A0A024QZ62,FLOT2
A0A024QZ64,ALDOC
A0A024QZ70,TAOK1
A0A024QZ77,EFHD2
A0A024QZ94,PCDH8
A0A024QZ97,TMEM51
A0A024QZA9,BCKDK
A0A024QZB0,FBXO42
A0A024QZB4,SULT1A1
A0A024QZC1,CD2BP2
A0A024QZC2,SH2B1
A0A024QZE7,TGFB1I1
A0A024QZE9,PIH1D1
A0A024QZF1,NUP62
A0A024QZF2,RRAS
A0A024QZF6,AKT1S1
A0A024QZH0,PLA2G4C
A0A024QZH5,SPHK2
A0A024QZH6,SCAF1
A0A024QZI3,CPT1C
A0A024QZJ2,UBE2D1
A0A024QZJ4,MYH11
A0A024QZJ6,MYH11
A0A024QZJ7,CCDC6
A0A024QZK4,PHYHIPL
A0A024QZK5,PBLD
A0A024QZK8,HNRNPH3
A0A024QZL0,FAM241B
A0A024QZM2,LRRC20
A0A024QZM3,EIF4EBP2
A0A024QZM5,PALD1
A0A024QZM6,SEC24C
A0A024QZN2,DNAJC9
A0A024QZN4,VCL
A0A024QZN7,CISD1
A0A024QZN8,HERC4
A0A024QZP6,H2AFY2
A0A024QZR5,AP3M1
A0A024QZS1,MOCS2
A0A024QZS3,PLPP1
A0A024QZT0,VDAC2
A0A024QZT2,EXOC2
A0A024QZT4,SERPINB9
A0A024QZT9,NQO2
A0A024QZW3,RANBP9
A0A024QZW7,NUP153
A0A024QZX3,SERPINB6
A0A024QZX9,DAGLB
A0A024QZY0,BPHL
A0A024QZY5,PRPF4B
A0A024QZZ6,CCDC115
A0A024R001,TMEM14C
A0A024R006,FAM8A1
A0A024R011,TBC1D7
A0A024R012,SIRT5
A0A024R028,RIPOR2
A0A024R035,C9
A0A024R040,OXCT1
A0A024R046,HMGN4
A0A024R061,VAMP7
A0A024R084,SDF4
A0A024R091,VWA1
A0A024R098,AMPD2
A0A024R0A8,AHCYL1
A0A024R0C7,CTTNBP2NL
A0A024R0E2,CSDE1
A0A024R0E5,CAPZA1
A0A024R0E9,""
A0A024R0F6,TRIM33
A0A024R0G0,CLCC1
A0A024R0H7,WDR77
A0A024R0J1,PAK4
A0A024R0K8,RAB4B
A0A024R0L2,CCDC97
A0A024R0L5,GSK3A
A0A024R0L6,PAFAH1B3
A0A024R0N6,SPTBN4
A0A024R0N8,ITPKC
A0A024R0Q0,SMG9
A0A024R0Q4,PLD3
A0A024R0Q6,ERCC1
A0A024R0R1,ARHGEF1
A0A024R0R4,SAE1
A0A024R0R9,NAPA
A0A024R0S6,EHD2
A0A024R0T1,DHRS11
A0A024R0T9,APOC4-APOC2
A0A024R0V8,SELENOW
A0A024R0W0,SLC25A18
A0A024R0Y2,ACACA
A0A024R0Y5,PFKM
A0A024R0Y6,ARF3
A0A024R101,SPATS2
A0A024R104,CNTN1
A0A024R120,TFCP2
A0A024R124,SLC38A1
A0A024R125,PRKAG1
A0A024R137,SMARCD1
A0A024R138,GPD1
A0A024R151,SLC44A1
A0A024R152,AKAP2
A0A024R156,GNG10
A0A024R163,PTBP3
A0A024R169,TEX10
A0A024R172,PTGR1
A0A024R176,SLC9A7
A0A024R178,ARAF
A0A024R179,NCBP1
A0A024R184,ALG2
A0A024R188,TMEM246
A0A024R1A3,UBA1
A0A024R1A4,UBE2L3
A0A024R1I2,MTMR3
A0A024R1I3,PDXP
A0A024R1J3,CDC42EP1
A0A024R1J9,NF2
A0A024R1K0,EIF4ENIF1
A0A024R1K5,PISD
A0A024R1K7,YWHAH
A0A024R1K8,SF3A1
A0A024R1K9,PVALB
A0A024R1L3,MIEF1
A0A024R1L8,KCNJ4
A0A024R1M8,APOL2
A0A024R1N1,MYH9
A0A024R1N4,XRCC6
A0A024R1P7,SUN2
A0A024R1P8,NPTXR
A0A024R1Q5,NAGA
A0A024R1R7,PICK1
A0A024R1S8,LASP1
A0A024R1T4,TNRC6B
A0A024R1T8,KLHL11
A0A024R1T9,ACLY
A0A024R1U0,RANGAP1
A0A024R1U2,PHF5A
A0A024R1U4,RAB5C
A0A024R1U5,PMM1
A0A024R1X3,VPS25
A0A024R1X4,COA3
A0A024R1Y6,PALM
A0A024R1Z1,CDC34
A0A024R1Z6,VAT1
A0A024R201,PSMD13
A0A024R210,IFITM1
A0A024R216,HDGFL3
A0A024R222,PSAT1
A0A024R225,TJP2
A0A024R228,HNRNPK
A0A024R229,CEMIP2
A0A024R230,NTRK2
A0A024R231,GDA
A0A024R233,TJP2
A0A024R240,GNAQ
A0A024R248,CARD19
A0A024R259,CTIF
A0A024R273,SYK
A0A024R275,RFK
A0A024R277,SPTLC1
A0A024R292,KDSR
A0A024R297,GTF2I
A0A024R2A8,MAGED4
A0A024R2B2,CDH7
A0A024R2C5,VPS4B
A0A024R2D7,TADA3
A0A024R2E5,CNTN4
A0A024R2E9,ATG7
A0A024R2F9,TMEM43
A0A024R2G0,SLC6A1
A0A024R2G1,CRELD1
A0A024R2G8,ANKRD28
A0A024R2H4,RBSN
A0A024R2H7,TRNT1
A0A024R2H8,CRBN
A0A024R2I1,HDAC11
