sID	grp
2mo-WT-10F	2mo_WT
2mo-WT-11F	2mo_WT
2mo-WT-1M	2mo_WT
2mo-WT-2M	2mo_WT
2mo-WT-3M	2mo_WT
2mo-WT-4M	2mo_WT
2mo-WT-5M	2mo_WT
2mo-WT-6F	2mo_WT
2mo-WT-7F	2mo_WT
2mo-WT-8F	2mo_WT
2mo-WT-9F	2mo_WT
2mo-Het-10M	2mo_Het
2mo-Het-1M	2mo_Het
2mo-Het-2M	2mo_Het
2mo-Het-3F	2mo_Het
2mo-Het-4F	2mo_Het
2mo-Het-5F	2mo_Het
2mo-Het-6F	2mo_Het
2mo-Het-7M	2mo_Het
2mo-Het-9M	2mo_Het
2mo-KO-10M	2mo_KO
2mo-KO-11M	2mo_KO
2mo-KO-12M	2mo_KO
2mo-KO-13M	2mo_KO
2mo-KO-2M	2mo_KO
2mo-KO-4F	2mo_KO
2mo-KO-5F	2mo_KO
2mo-KO-6F	2mo_KO
2mo-KO-7F	2mo_KO
2mo-KO-8F	2mo_KO
2mo-KO-9M	2mo_KO
1yr-WT-10M	1yr_WT
1yr-WT-11M	1yr_WT
1yr-WT-2F	1yr_WT
1yr-WT-3F	1yr_WT
1yr-WT-4F	1yr_WT
1yr-WT-5F	1yr_WT
1yr-WT-6F	1yr_WT
1yr-WT-7F	1yr_WT
1yr-WT-8F	1yr_WT
1yr-WT-9M	1yr_WT
1yr-Het-11M	1yr_Het
1yr-Het-12M	1yr_Het
1yr-Het-14M	1yr_Het
1yr-Het-1F	1yr_Het
1yr-Het-2M	1yr_Het
1yr-Het-4M	1yr_Het
1yr-Het-5F	1yr_Het
1yr-Het-6F	1yr_Het
1yr-Het-7F	1yr_Het
1yr-Het-8F	1yr_Het
1yr-Het-9F	1yr_Het
1yr-KO-11F	1yr_KO
1yr-KO-13M	1yr_KO
1yr-KO-14M	1yr_KO
1yr-KO-15M	1yr_KO
1yr-KO-16M	1yr_KO
1yr-KO-1F	1yr_KO
1yr-KO-2F	1yr_KO
1yr-KO-3F	1yr_KO
1yr-KO-6M	1yr_KO
1yr-KO-7M	1yr_KO
1yr-KO-8F	1yr_KO
1yr-KO-9F	1yr_KO
2yr-WT-10M	2yr_WT
2yr-WT-1F	2yr_WT
2yr-WT-2F	2yr_WT
2yr-WT-3F	2yr_WT
2yr-WT-4M	2yr_WT
2yr-WT-5F	2yr_WT
2yr-WT-6F	2yr_WT
2yr-WT-7F	2yr_WT
2yr-WT-8F	2yr_WT
2yr-WT-9M	2yr_WT
2yr-Het-1M	2yr_Het
2yr-Het-2F	2yr_Het
2yr-Het-3M	2yr_Het
2yr-Het-4M	2yr_Het
2yr-Het-5M	2yr_Het
