gene_name,Pathways,Color
Ccr3,Chemokines and chemokine receptors,green
Ccr5,Chemokines and chemokine receptors,green
Ccr1l1,Chemokines and chemokine receptors,green
H2-Q10,MHCII Genes,darkgreen
H2-Aa,MHCII Genes,darkgreen
H2-Eb1,MHCII Genes,darkgreen
H2-Ab1,MHCII Genes,darkgreen
H2-DMb2,MHCII Genes,darkgreen
H2-DMa,MHCII Genes,darkgreen
Lilra6,Other immune genes,blue
Msx1,Other immune genes,blue
S100a6,Other immune genes,blue
C3,Other immune genes,blue
Lyz2,Other immune genes,blue
Fcrls,Other immune genes,blue
Lilra5,Other immune genes,blue
Tnf,Other immune genes,blue
Clu,Other noteworthy genes,red
Adora1,Other noteworthy genes,red
Cd34,Other noteworthy genes,red
Mmp9,Proteases,hotpink
Ttr,Other Pathways,Gray90
Enpp2,Other Pathways,Gray90
1500015O10Rik,Other Pathways,Gray90
Lbp,Other Pathways,Gray90
Sostdc1,Other Pathways,Gray90
Car12,Other Pathways,Gray90
Chil3,Other Pathways,Gray90
Cd24a,Other Pathways,Gray90
Cxcr2,Other Pathways,Gray90
Crispld2,Other Pathways,Gray90
Cox8b,Other Pathways,Gray90
Kcne2,Other Pathways,Gray90
Aqp1,Other Pathways,Gray90
Hp,Other Pathways,Gray90
Pglyrp1,Other Pathways,Gray90
Anxa1,Other Pathways,Gray90
Trem3,Other Pathways,Gray90
Ifitm6,Other Pathways,Gray90
Gm14548,Other Pathways,Gray90
Amica1,Other Pathways,Gray90
Calml4,Other Pathways,Gray90
Folr1,Other Pathways,Gray90
Igfbp2,Other Pathways,Gray90
Kcnj13,Other Pathways,Gray90
Rbp1,Other Pathways,Gray90
Slc4a10,Other Pathways,Gray90
Slfn1,Other Pathways,Gray90
Mcemp1,Other Pathways,Gray90
Emb,Other Pathways,Gray90
Plbd1,Other Pathways,Gray90
Mgst1,Other Pathways,Gray90
Nfe2,Other Pathways,Gray90
Pi16,Other Pathways,Gray90
Spint2,Other Pathways,Gray90
Stk39,Other Pathways,Gray90
Strip2,Other Pathways,Gray90
S100a11,Other Pathways,Gray90
Cfp,Other Pathways,Gray90
F630028O10Rik,Other Pathways,Gray90
Dpep2,Other Pathways,Gray90
Clec10a,Other Pathways,Gray90
Mgl2,Other Pathways,Gray90
Ltb4r1,Other Pathways,Gray90
